ID,店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
1.0,北海道酒場 魚蔵 ねむろ 蒲田駅前店,050-5484-2111, ,東京都,大田区西蒲田,7-66-3,清宮ビル,https://r.gnavi.co.jp/m271z1cb0000/?sc_type=area&sc_area=jp&sc_dsp=rs_184946,True
2.0,宮崎県日南市 塚田農場 船橋店,050-5486-4676, ,千葉県,船橋市本町,4-3-20,モリウチビル2F,https://r.gnavi.co.jp/g753375/?sc_type=area&sc_area=jp&sc_dsp=rs_184037,True
3.0,山内農場 品川港南口駅前店,03-3450-9388, ,東京都,港区港南,2-6-7,品川ビル3・4F,https://r.gnavi.co.jp/8x95c8s40000/,True
4.0,順海閣 本館,050-5494-5531, ,神奈川県,横浜市中区山下町,147,,https://r.gnavi.co.jp/67e7tagj0000/,True
5.0,九州酒肴 筑前猫屋 八丁堀,050-5486-5799, ,東京都,中央区八丁堀,3-11-8,美和ビルB1,https://r.gnavi.co.jp/khmye3bh0000/,True
6.0,本格中国料理 翠嵐,050-5486-9437, ,千葉県,千葉市美浜区ひび野,1-11,ホテルスプリングス幕張本館2F,https://r.gnavi.co.jp/87ybwpwe0000/?sc_type=area&sc_area=jp&sc_dsp=rs_183708,True
7.0,バルコラボ 那覇新都心,050-5486-2174, ,沖縄県,那覇市おもろまち,4-6-17,おもろパークテラス2F,https://r.gnavi.co.jp/cd2vjmey0000/,True
8.0,いろはにほへと 一関駅前店,050-5485-6527, ,岩手県,一関市駅前,40,1F,https://r.gnavi.co.jp/t043639/,True
9.0,もつ鍋・ホルモン焼・焼肉 小力 豊田店,050-5488-6143, ,愛知県,豊田市御立町,7-113-2,,https://r.gnavi.co.jp/3yb1js8x0000/,True
10.0,表町肉焼処 黒場 －くろば－,050-5486-5731, ,岡山県,岡山市北区表町,2-5-32,,https://r.gnavi.co.jp/n40f9mpd0000/,True
11.0,黒毛和牛焼肉と本格もつ鍋 山樹 長久手店,050-5485-2394, ,愛知県,長久手市五合池,102-1,,https://r.gnavi.co.jp/n537300/,True
12.0,船場美術館 Senba Art Studio アートドローイングカフェ,050-5486-6788, ,大阪府,大阪市中央区南船場,4-9-11,レイシス心斎橋ビル5F,https://r.gnavi.co.jp/82peur3k0000/,True
13.0,山内農場 千葉ニュータウン中央南口駅前店,0476-45-5288, ,千葉県,印西市中央南,1-8,千葉ニュータウン中央駅前センタービル1F,https://r.gnavi.co.jp/gau4698/,True
14.0,焼肉レストラン ロインズ 東大和,050-5485-6923, ,東京都,東大和市狭山,5-1642-2,新青梅街道添い,https://r.gnavi.co.jp/ry2myuej0000/,True
15.0,黒豚料理 寿庵 東開店,050-5492-8633, ,鹿児島県,鹿児島市東開町,3-22,,https://r.gnavi.co.jp/8wv84e7r0000/,True
16.0,ごきげん えびす 守山駅前店,077-599-5455, ,滋賀県,守山市勝部,1-1-17,cocotto MORIYAMA2F,https://r.gnavi.co.jp/7ps0cngu0000/,True
17.0,ボンクォーレ,050-5486-4583, ,愛知県,春日井市高山町,3-9-4,,https://r.gnavi.co.jp/h24phmjy0000/,True
18.0,日本料理×個室 花むすび 魚周,050-5484-5275, ,大阪府,松原市天美南,5-16-16,,https://r.gnavi.co.jp/c489100/,True
19.0,和食・懐石 がんこ 三田の里,050-3503-1335, ,兵庫県,三田市大原,149,,https://r.gnavi.co.jp/k026626/,True
20.0,いろはにほへと 富良野店,050-5488-4972, ,北海道,富良野市本町,3-5,,https://r.gnavi.co.jp/d08yhk8h0000/,True
21.0,神戸牛 丹山 鉄板焼,050-5487-5814, ,京都,府京都市中京区三条通河原町東入中島町,84-1,,https://r.gnavi.co.jp/jc948jvb0000/,True
22.0,和牛もつ鍋＆海鮮 個室居酒屋 和ノ音 －わのね－ 海浜幕張店,050-5485-0648, ,千葉県,千葉市美浜区ひび野,1-14,aune幕張2F,https://r.gnavi.co.jp/60fdrhjn0000/,True
23.0,個室ダイニング jalan baru ～ジャランバル～,050-5487-6038, ,千葉県,成田市花崎町,843,,https://r.gnavi.co.jp/8suu1x8t0000/?sc_type=area&sc_area=jp&sc_dsp=rs_189496,True
24.0,よし寿司 上野店,050-5485-3095, ,東京都,台東区上野,6-7-8,,https://r.gnavi.co.jp/gd7t600/?sc_type=area&sc_area=jp&sc_dsp=rs_184753,True
25.0,完全個室 兜 銀座店 しゃぶしゃぶ・すき焼き・ステーキ,050-5487-8280, ,東京都,中央区銀座,8-2-1,ニッタビル2F,https://r.gnavi.co.jp/drhysd530000/?sc_type=area&sc_area=jp&sc_dsp=rs_186984,True
26.0,湯葉豆富料理魚民 大館有浦店,0186-42-2588, ,秋田県,大館市有浦,2-37-2,,https://r.gnavi.co.jp/2g7kxv920000/,True
27.0,個室空間 湯葉豆腐料理 千年の宴 酒田中町2丁目店,0234-23-2038, ,山形県,酒田市中町,2-4-32,日幸商事ビル1F,https://r.gnavi.co.jp/t088053/,True
28.0,梅の花 郡山店,050-5487-5790, ,福島県,郡山市鳴神,1-30-2,,https://r.gnavi.co.jp/t021603/,True
29.0,イタリアンバル×個室 Trattoria Foresta Di Gufi,050-5488-5507, ,宮城県,仙台市青葉区一番町,4-5-40,2F,https://r.gnavi.co.jp/5mdddpnh0000/?sc_type=area&sc_area=jp&sc_dsp=rs_189922,True
30.0,魚民 小杉南口駅前店,0766-56-3988, ,富山県,射水市三ケ,2602,アル・プラザ小杉 別棟1F,https://r.gnavi.co.jp/r042344/,True
31.0,とんかつ 自然坊,050-5486-6062, ,東京都,大田区久が原,4-19-24,,https://r.gnavi.co.jp/cbdcexe90000/,True
32.0,和食・懐石 がんこ 和歌山六三園,050-3196-8009, ,和歌山県,和歌山市堀止西,1-3-22,,https://r.gnavi.co.jp/k026627/,True
33.0,魚民 氷見店,0766-72-1688, ,富山県,氷見市加納,436-1,1F,https://r.gnavi.co.jp/j6ecpkyt0000/,True
34.0,天神,050-5485-1736, ,愛媛県,松山市二番町,2-6-8,,https://r.gnavi.co.jp/gkfr6pwr0000/,True
35.0,食の蔵 荒為,050-5488-9306, ,茨城県,筑西市甲,929,,https://r.gnavi.co.jp/e533htms0000/,True
36.0,Trattoria Blair Garden（ブレアガーデン）,050-5484-2164, ,宮城県,仙台市泉区桂,1-1-1,,https://r.gnavi.co.jp/t042403/,True
37.0,炭火焼鳥 鶏蔵,050-5489-4724, ,広島県,福山市船町,2-19,,https://r.gnavi.co.jp/bpnhnngr0000/,True
38.0,博多水たき さ和鳥 八丁堀,050-5488-7641, ,東京都,中央区八丁堀,3-24-1,,https://r.gnavi.co.jp/b165201/,True
39.0,レストラン　ら・むぎ,050-5492-9716, ,奈良県,奈良市押熊町,2202-6,,https://r.gnavi.co.jp/k721800/,True
40.0,隠れ家個室 矢那屋 ～YANAYA～ 木更津駅前,050-5487-6313, ,千葉県,木更津市東中央,2-10-19,1F,https://r.gnavi.co.jp/esr4f1r80000/,True
41.0,イタリア料理 ハイウェーブカフェ,050-5489-2110, ,福井県,福井市福新町,2004-2,,https://r.gnavi.co.jp/jfjew5ka0000/,True
42.0,炙屋 しゅん,050-5487-5033, ,茨城県,守谷市百合ヶ丘,3-2664-24,,https://r.gnavi.co.jp/8r6eztn60000/,True
43.0,全席個室 ウメ子の家仙台駅前店,050-5489-2397, ,宮城県,仙台市青葉区中央,1-7-4,宮城商事ビル1F,https://r.gnavi.co.jp/52t5gf650000/,True
44.0,うなぎ 川魚 和食 鯉之助,050-5485-3252, ,北海道,函館市本町,32-11,,https://r.gnavi.co.jp/ee28wz0x0000/,True
45.0,高松屋 暁,050-5488-6180, ,愛媛県,八幡浜市旧港,432,,https://r.gnavi.co.jp/5uak83uf0000/,True
46.0,豪華個室×地中海創作ダイニング エル バルコ,050-5486-2907, ,千葉県,船橋市本町,4-16-36,サラトガビル1F,https://r.gnavi.co.jp/g247400/,True
47.0,一楽,050-5484-5065, ,神奈川県,横浜市中区山下町,150,,https://r.gnavi.co.jp/g398800/?sc_type=area&sc_area=jp&sc_dsp=rs_183821,True
48.0,ロティサリーチキン専門店 Rassi’s Bar（ラッシーズ バー）新橋,050-5484-6968, ,東京都,港区新橋,4-10-8,,https://r.gnavi.co.jp/fdy4t34w0000/?sc_type=area&sc_area=jp&sc_dsp=rs_186673,True
49.0,日本料理 花はん,050-5485-0998, ,宮城県,仙台市青葉区国分町,2-14-18,定禅寺パークビルB1,https://r.gnavi.co.jp/t023100/?sc_type=area&sc_area=jp&sc_dsp=rs_189775,True
50.0,TSURUGATA BASE 1225,050-5494-6179, ,岡山県,倉敷市鶴形,1-2-25,B1,https://r.gnavi.co.jp/3m0x0n120000/,True
